query,token,frequency
continents,identifier,3
continents,*,1
continents,BY,1
continents,FROM,1
continents,IS,1
continents,NULL,1
continents,ORDER,1
continents,SELECT,1
continents,WHERE,1
siblings_and_parents,identifier,27
siblings_and_parents,.,12
siblings_and_parents,LEVEL,6
siblings_and_parents,AS,5
siblings_and_parents,=,4
siblings_and_parents,*,3
siblings_and_parents,FROM,3
siblings_and_parents,INNER,3
siblings_and_parents,JOIN,3
siblings_and_parents,ON,3
siblings_and_parents,SELECT,3
siblings_and_parents,(,1
siblings_and_parents,),1
siblings_and_parents,",",1
siblings_and_parents,BY,1
siblings_and_parents,DESC,1
siblings_and_parents,IS,1
siblings_and_parents,NULL,1
siblings_and_parents,OR,1
siblings_and_parents,ORDER,1
siblings_and_parents,RECURSIVE,1
siblings_and_parents,UNION,1
siblings_and_parents,WHERE,1
siblings_and_parents,WITH,1
no_login_users,identifier,6
no_login_users,.,5
no_login_users,USER,4
no_login_users,SESSION,3
no_login_users,=,1
no_login_users,AS,1
no_login_users,BY,1
no_login_users,FROM,1
no_login_users,IS,1
no_login_users,JOIN,1
no_login_users,LEFT,1
no_login_users,NULL,1
no_login_users,ON,1
no_login_users,ORDER,1
no_login_users,SELECT,1
no_login_users,WHERE,1
num_valid_sessions,identifier,9
num_valid_sessions,.,7
num_valid_sessions,USER,5
num_valid_sessions,SESSION,4
num_valid_sessions,AS,2
num_valid_sessions,BY,2
num_valid_sessions,IS,2
num_valid_sessions,NULL,2
num_valid_sessions,(,1
num_valid_sessions,),1
num_valid_sessions,",",1
num_valid_sessions,=,1
num_valid_sessions,AND,1
num_valid_sessions,FROM,1
num_valid_sessions,GROUP,1
num_valid_sessions,JOIN,1
num_valid_sessions,LEFT,1
num_valid_sessions,NOT,1
num_valid_sessions,ON,1
num_valid_sessions,ORDER,1
num_valid_sessions,SELECT,1
num_valid_sessions,SUM,1
multi_profile_users,identifier,7
multi_profile_users,BY,2
multi_profile_users,(,1
multi_profile_users,),1
multi_profile_users,",",1
multi_profile_users,0,1
multi_profile_users,>,1
