,token_count,token_entropy,typed_node_count,weighted_node_count,json_node_count,halstead_vocabulary,halstead_length,halstead_estimated_length,halstead_volume,halstead_difficulty,halstead_effort
token_count,1.0,0.8058084280096901,0.9912806853314478,0.9883159254473823,0.9984736712690903,0.9828586235805953,0.9933629619156351,0.9872016973383597,0.9933779329033147,0.8929085844349415,0.9470636018519869
token_entropy,0.8058084280096901,1.0,0.762286895687125,0.7763848494644582,0.8230151210237361,0.8641191181056711,0.7867883586890688,0.830294660971398,0.7654826529035369,0.7173468041109476,0.6445013029000254
typed_node_count,0.9912806853314478,0.762286895687125,1.0,0.9971700059334307,0.9884085296315911,0.9549900411724516,0.9985518415900839,0.9649273021730351,0.9987911509889618,0.9242593059763886,0.9761674442525688
weighted_node_count,0.9883159254473823,0.7763848494644582,0.9971700059334307,1.0,0.9886936238226058,0.9528626469176985,0.9988798189806929,0.959533014481134,0.994422452331036,0.9349303290825007,0.9633386229383831
json_node_count,0.9984736712690903,0.8230151210237361,0.9884085296315911,0.9886936238226058,1.0,0.9833184592568415,0.9930346343151057,0.9848200037957383,0.9897049930357315,0.8950766282471848,0.9352771219368055
halstead_vocabulary,0.9828586235805953,0.8641191181056711,0.9549900411724516,0.9528626469176985,0.9833184592568415,1.0,0.9625731434262177,0.9971995619892815,0.9632511636592865,0.8248634466546879,0.8846048176029835
halstead_length,0.9933629619156351,0.7867883586890688,0.9985518415900839,0.9988798189806929,0.9930346343151057,0.9625731434262177,1.0,0.969266895986642,0.9974260368825678,0.9232959315033543,0.9639518907555232
halstead_estimated_length,0.9872016973383597,0.830294660971398,0.9649273021730351,0.959533014481134,0.9848200037957383,0.9971995619892815,0.969266895986642,1.0,0.9740018695514315,0.8247958246007222,0.90702187468192
halstead_volume,0.9933779329033147,0.7654826529035369,0.9987911509889618,0.994422452331036,0.9897049930357315,0.9632511636592865,0.9974260368825678,0.9740018695514315,1.0,0.9062417969997812,0.973268667785696
halstead_difficulty,0.8929085844349415,0.7173468041109476,0.9242593059763886,0.9349303290825007,0.8950766282471848,0.8248634466546879,0.9232959315033543,0.8247958246007222,0.9062417969997812,1.0,0.9149428581970416
halstead_effort,0.9470636018519869,0.6445013029000254,0.9761674442525688,0.9633386229383831,0.9352771219368055,0.8846048176029835,0.9639518907555232,0.90702187468192,0.973268667785696,0.9149428581970416,1.0
