query,token_count,token_entropy,node_count,weighted_node_count,halstead_vocabulary,halstead_length,halstead_estimated_length,halstead_volume,halstead_difficulty,halstead_effort
avg_daily_price_by_user_by_booking_length_category,343,3.0246712965863574,172,199,56,115,273.4603972836993,667.8458160366245,19.256756756756758,12860.544430434999
continents,43,2.5174278488960553,22,25,12,15,33.284212515144276,53.77443751081734,2.0,107.54887502163469
multi_profile_users,47,2.4458715139513973,24,29,12,15,31.26112492884004,53.77443751081734,3.5714285714285716,192.0515625386334
no_login_users,36,2.4008188100258923,18,21,9,10,20.264662506490403,31.69925001442312,1.75,55.473687525240464
northest_booked_latitude_fast,199,2.794105769441121,100,120,34,71,140.34438221418816,361.20986172877406,13.928571428571429,5031.137359793639
northest_booked_latitude_slow,217,2.8647063306396907,109,130,40,76,174.6997636784959,404.4665352114396,14.4,5824.31810704473
num_valid_sessions,57,2.6746410158510168,29,34,18,19,57.219280948873624,79.22857502740393,4.4,348.60573012057733
owned_real_estate_region_count,64,2.7334314155402257,32,44,20,21,66.58307281799108,90.76048999263462,4.909090909090909,445.551496327479
profile_counts_by_non_google_user,137,2.7489797926966877,69,81,26,46,97.21928094887363,216.22022703449022,7.5,1621.6517027586767
siblings_and_parents,191,2.9639761255738617,96,117,47,71,215.31656057304102,394.37580846911226,15.267857142857142,6021.273504305196
top_n_booked_regions_for_user_x,133,2.8112013369527507,67,81,32,48,129.45811190640111,240.0,8.7,2088.0
